Skud ud til at blive 25 tillykke gamle dreng,https://www.youtube.com/watch?v=AgFeZr5ptV8,4
Skud ud til du først ved hvad du har når du mister det,https://www.youtube.com/watch?v=RBumgq5yVrA,0
Kaa maddi ka maddi ka maddi drikke øl,https://www.youtube.com/watch?v=AwEc8KiMOtc,38
skud ud til store maddi fra 2.semester,https://www.youtube.com/watch?v=HfmWPfqyYyY,0
Skud ud til dengang maddi han var ham den store,https://www.youtube.com/watch?v=xGPeNN9S0Fg,138
Skud ud til Maddis kæreste der ikke er inviteret,https://www.youtube.com/watch?v=pa14VNsdSYM,0
Skud ud til at anja som er en luder,https://www.youtube.com/watch?v=zQLMlEU_JRo,16
Skud ud til at råbe ind i en mikrofon,https://www.youtube.com/watch?v=WPKcHHrO_00,16
Skud ud til at forlade Thea på pisten,https://www.youtube.com/watch?v=zBbc67AQkLk,0
Skud ud til alle dem der har taget øl og spurt med,https://www.youtube.com/watch?v=_ovdm2yX4MA,0
Skud ud til at tage blæser med på sommerhustur,https://www.youtube.com/watch?v=WBKnpyoFEBo,25
Skud ud til maddi trixet,https://www.youtube.com/watch?v=OLzK_ewEilE,0
skud ud til at sove uden dyne,https://www.youtube.com/watch?v=IQ2HTsYUUT4,0
Skud ud til at kaldes Hylles værelse spermgrotten foran hans kæreste,https://www.youtube.com/watch?v=dzKbAxOiofY,3
Skud ud til at tage direkte fra klubben i Krakow til Lalandia,https://www.youtube.com/watch?v=jbZqGOtJ34Q,52
Skud ud til at det var ret hårdt næstformand i Beerceps,https://www.youtube.com/watch?v=RRLLPavaSwo,14
"Skud ud til hvor fuck er afterski tema, presenning og juletræ henne!!!",https://www.youtube.com/watch?v=EKqIBDHnqHE,0
Skud ud til at stjæle en bus,https://www.youtube.com/watch?v=TqA3Fu3_NDA,0
"skud ud til ""Hey google its sexy time""",https://www.youtube.com/watch?v=izGwDsrQ1eQ,0
skud ud til at vende bordene om så de bliver rene dagen efter,https://www.youtube.com/watch?v=cMa949vI04I,0
Skud ud til altid at sidde på toilettet uden toiletpapir,https://www.youtube.com/watch?v=TzV6N3bos6Q,0
Skud ud til fisk or no fisk,https://www.youtube.com/watch?v=ljmfH5RmPls,307
Skud ud til Piratøøør,https://www.youtube.com/watch?v=Gef2bTjrq9w,0
skud ud til at skippe vil du med mig hjem,https://www.youtube.com/watch?v=Kej29aNax_c,0
Skud ud til at insistere på at det gyldne skraldebækken skal stå i stuen,https://www.youtube.com/watch?v=sy23SWrSkI0,20
Skud ud til at Maddi ikke kan gå med tanktop fordi han har fået for store arme,https://www.youtube.com/watch?v=Ag5Plg1IDOk,32
Skud ud til at han er for træt til at bolle efter 22,https://www.youtube.com/watch?v=qvMP-PuMI-8,20
Skud ud til ikke at gide at gå 500meter i skiskøvler ØØV,https://www.youtube.com/watch?v=tbNlMtqrYS0,80
skud ud til at skrive med venstre hånd så folk ikke kan genkende hans håndskrift,https://www.youtube.com/watch?v=KEjtbuWFu0c,114
Skud ud til at diskosnave,https://www.youtube.com/watch?v=uIRmvhqteWs,0
"Skud ud til nasty isterningeleg, båsen og at banke panden ned i en isterning, KOM så BOBS",https://www.youtube.com/watch?v=ZTz__9NNC8s,0
Skud ud til IT'rygsækken,https://www.youtube.com/watch?v=4oGUHRXT-wA,10
Skud ud til at være patte,https://www.youtube.com/watch?v=sV_wP4fil3w,17
